Testing matrix size: 10x10, Time taken: 1.98e-05 seconds
Testing matrix size: 50x50, Time taken: 0.0028533 seconds
Testing matrix size: 100x100, Time taken: 0.0152962 seconds
Testing matrix size: 200x200, Time taken: 0.167692 seconds
Testing matrix size: 300x300, Time taken: 0.430005 seconds
Testing matrix size: 400x400, Time taken: 0.859447 seconds
Testing matrix size: 500x500, Time taken: 1.5632 seconds
Testing matrix size: 1000x1000, Time taken: 13.6621 seconds
Testing matrix size: 1500x1500, Time taken: 49.5744 seconds
Testing matrix size: 1750x1750, Time taken: 79.7158 seconds
Testing matrix size: 2000x2000, Time taken: 136.343 seconds
