Testing with 4 threads
Matrix size: 10x10, Time: 4.2713 milliseconds
Matrix size: 50x50, Time: 0.2062 milliseconds
Matrix size: 100x100, Time: 1.7175 milliseconds
Matrix size: 200x200, Time: 14.9929 milliseconds
Matrix size: 300x300, Time: 57.5613 milliseconds
Matrix size: 400x400, Time: 130.829 milliseconds
Matrix size: 500x500, Time: 259.466 milliseconds
Matrix size: 1000x1000, Time: 2315.84 milliseconds
Matrix size: 1500x1500, Time: 8080.66 milliseconds
Matrix size: 1750x1750, Time: 14170.2 milliseconds
Matrix size: 2000x2000, Time: 24525.1 milliseconds
